name,calories,protein,carbs,fat
"Duck, scoter, white-winged, meat (Alaska Native)",0.84,0.202,0.0,0.004
"Sea cucumber, yane (Alaska Native)",0.56,0.13,0.0,0.004
"Squirrel, ground, meat (Alaska Native)",1.11,0.193,0.0,0.038
"Tea, tundra, herb and laborador combination (Alaska Native)",0.01,0.0,0.002,0.0
"Walrus, meat, dried (Alaska Native)",2.51,0.57,0.0,0.026
"Deer (venison), sitka, raw (Alaska Native)",1.16,0.215,0.0,0.0266
"Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)",8.7,0.004,0.0,0.965
"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)",4.65,0.126,0.0,0.461
"Oil, whale, bowhead (Alaska Native)",9.0,0.0,0.0,1.0
"Fish, whitefish, broad, liver (Alaska Native)",1.04,0.11,0.051,0.044
"Mush, blue corn with ash (Navajo)",0.54,0.0066,0.1174,0.0049
"Cornmeal, blue (Navajo)",3.98,0.104,0.7693,0.0544
"Melon, banana (Navajo)",0.21,0.0084,0.0406,0.002
Chilchen (Red Berry Beverage) (Navajo),0.44,0.0081,0.0868,0.0063
"Corn, dried (Navajo)",3.86,0.0988,0.7493,0.0522
"Squash, Indian, cooked, boiled (Navajo)",0.16,0.0031,0.0322,0.0015
"Bread, kneel down (Navajo)",1.95,0.0429,0.3947,0.0221
"Mutton, cooked, roasted (Navajo)",2.34,0.3343,0.0008,0.1109
"Frybread, made with lard (Navajo)",3.3,0.0669,0.4826,0.1222
Tamales (Navajo),1.53,0.0628,0.1812,0.0612
"Stew, steamed corn (Navajo)",1.12,0.0882,0.108,0.0375
"Fish, halibut, raw, with skin (Alaska Native)",1.16,0.2053,0.0181,0.0292
"Fish, salmon, coho (silver), raw (Alaska Native)",1.4,0.2256,0.0,0.0557
"Blueberries, wild, raw (Alaska Native)",0.61,0.0122,0.1231,0.0076
"Oil, spotted seal (Alaska Native)",8.94,0.0,0.0,0.9932
"Fish, salmon, red, canned, bones removed (Alaska Native)",1.61,0.2731,0.0,0.0576
"Fish, whitefish, eggs (Alaska Native)",1.04,0.1466,0.0489,0.0288
"Caribou, rump meat, half dried (Alaska Native)",2.55,0.5206,0.0,0.0523
"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",2.06,0.3519,0.0,0.0726
"Fish, salmon, red, (sockeye), kippered (Alaska Native)",1.41,0.245,0.0,0.0475
"Fish, salmon, king, with skin, kippered, (Alaska Native)",2.09,0.2319,0.0,0.1295
"Fish, sheefish, raw (Alaska Native)",1.15,0.2225,0.0,0.0284
"Buffalo, free range, top round steak, raw (Shoshone Bannock)",0.97,0.2144,0.0,0.013
"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)",2.7,0.6238,0.0,0.0231
"Buffalo, free range, top round steak, cooked (Shoshone Bannock)",1.46,0.3251,0.0,0.018
"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",0.98,0.1974,0.0,0.021
"Corn, dried, yellow (Northern Plains Indians)",4.19,0.1448,0.6627,0.1064
"Smelt, dried (Alaska Native)",3.86,0.5619,0.0,0.179
"Frybread, made with lard (Apache)",3.09,0.0838,0.4601,0.1014
Corned beef and potatoes in tortilla (Apache),2.24,0.0791,0.2935,0.0831
"ON THE BORDER, soft taco with ground beef, cheese and lettuce",2.29,0.1319,0.1928,0.1105
"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",2.19,0.1256,0.1792,0.1081
"Restaurant, Latino, chicken and rice, entree, prepared",1.74,0.1202,0.2003,0.0506
"Restaurant, Latino, empanadas, beef, prepared",3.35,0.1131,0.3119,0.1837
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",2.29,0.0559,0.3149,0.0901
