name,calories,protein,carbs,fat
"Pasta, gluten-free, brown rice flour, cooked, TINKYADA",1.38,0.0346,0.322,0.0167
"Pasta, gluten-free, corn flour and quinoa flour, cooked, ANCIENT HARVEST",1.52,0.0323,0.3111,0.0207
"Fast Foods, biscuit, with egg and sausage",3.12,0.1113,0.2105,0.2077
"Fast foods, biscuit, with egg, cheese, and bacon",3.01,0.1201,0.2444,0.1748
"Fast foods, biscuit, with ham",3.42,0.1185,0.3875,0.163
"Fast foods, biscuit, with sausage",3.71,0.0967,0.2999,0.2442
"Fast foods, english muffin, with cheese and sausage",3.38,0.1328,0.2528,0.2067
"Fast foods, english muffin, with egg, cheese, and canadian bacon",2.28,0.1364,0.2167,0.0966
"Fast foods, english muffin, with egg, cheese, and sausage",2.86,0.1338,0.1744,0.181
"Fast foods, french toast sticks",3.4,0.06,0.4121,0.1774
"Fast foods, sundae, strawberry",1.75,0.0409,0.2918,0.0513
"Fast foods, shrimp, breaded and fried",3.08,0.0784,0.2799,0.189
"Fast foods, burrito, with beans",2.06,0.0648,0.3292,0.0622
"Fast foods, burrito, with beans and cheese",2.05,0.0735,0.3123,0.0605
"PIZZA HUT 12"" Cheese Pizza, Hand-Tossed Crust",2.71,0.1193,0.3122,0.1089
"PIZZA HUT 12"" Cheese Pizza, Pan Crust",2.8,0.1173,0.2993,0.1256
"PIZZA HUT 12"" Cheese Pizza, THIN 'N CRISPY Crust",3.03,0.1529,0.2864,0.141
"DOMINO'S 14"" Cheese Pizza, Crunchy Thin Crust",2.98,0.1233,0.2818,0.151
"DOMINO'S 14"" Pepperoni Pizza, Classic Hand-Tossed Crust",2.73,0.1125,0.3186,0.1118
"DOMINO'S 14"" Pepperoni Pizza, Ultimate Deep Dish Crust",2.83,0.1152,0.3189,0.121
"DOMINO'S 14"" EXTRAVAGANZZA FEAST Pizza, Classic Hand-Tossed Crust",2.44,0.1033,0.2572,0.111
"LITTLE CAESARS 14"" Original Round Cheese Pizza, Regular Crust",2.65,0.1339,0.315,0.0954
"LITTLE CAESARS 14"" Original Round Pepperoni Pizza, Regular Crust",2.73,0.1359,0.3101,0.105
"LITTLE CAESARS 14"" Original Round Meat and Vegetable Pizza, Regular Crust",2.43,0.1212,0.231,0.1135
"LITTLE CAESARS 14"" Cheese Pizza, Large Deep Dish Crust",2.63,0.1263,0.301,0.1022
"PIZZA HUT 14"" Cheese Pizza, THIN 'N CRISPY Crust",3.06,0.1337,0.3422,0.128
"PIZZA HUT 14"" Pepperoni Pizza, Hand-Tossed Crust",2.91,0.1223,0.3211,0.1263
"PIZZA HUT 14"" Pepperoni Pizza, Pan Crust",2.91,0.1147,0.3179,0.1307
"PIZZA HUT 14"" Super Supreme Pizza, Hand-Tossed Crust",2.48,0.1134,0.2601,0.1095
"Fast Food, Pizza Chain, 14"" pizza, meat and vegetable topping, regular crust",2.44,0.1102,0.2538,0.109
"Fast foods, griddle cake sandwich, egg, cheese, and sausage",2.91,0.1077,0.2204,0.1773
"Fast foods, griddle cake sandwich, sausage",3.18,0.0841,0.3125,0.1776
"Fast foods, griddle cake sandwich, egg, cheese, and bacon",2.72,0.1203,0.2619,0.1319
"McDONALD'S, Sausage McGRIDDLES",3.12,0.0841,0.3125,0.1776
"McDONALD'S, Sausage, Egg & Cheese McGRIDDLES",2.83,0.1077,0.2204,0.1773
"McDONALD'S, Vanilla Reduced Fat Ice Cream Cone",1.62,0.0424,0.2636,0.0486
"McDONALD'S, Strawberry Sundae",1.58,0.0319,0.2809,0.0395
"McDONALD'S, Sausage Burrito",2.77,0.111,0.2297,0.1563
"McDONALD'S, BIG BREAKFAST",2.85,0.1016,0.175,0.1937
"McDONALD'S, Double Cheeseburger",2.82,0.155,0.1879,0.1609
"McDONALD'S, DOUBLE QUARTER POUNDER with Cheese",2.62,0.1696,0.1443,0.1622
"McDONALD'S, BIG MAC (without Big Mac Sauce)",2.34,0.1279,0.2101,0.1157
"McDONALD'S, Sausage McMUFFIN with Egg",2.74,0.1259,0.1728,0.1783
"McDONALD'S, Bacon Egg & Cheese Biscuit",3.04,0.1345,0.2226,0.1877
"McDONALD'S, Sausage Biscuit",3.76,0.0962,0.272,0.254
"McDONALD'S, Sausage Biscuit with Egg",3.11,0.1127,0.1928,0.2226
McDONALD'S Bacon Ranch Salad with Crispy Chicken,1.22,0.0882,0.0608,0.063
"McDONALD'S, Bacon Ranch Salad without chicken",0.61,0.0414,0.042,0.0364
"McDONALD'S, Side Salad",0.2,0.0103,0.043,0.0019
"McDONALD'S, Fruit 'n Yogurt Parfait",1.05,0.0273,0.2072,0.013
"BURGER KING, CROISSAN'WICH with Egg and Cheese",2.83,0.1035,0.2479,0.1578
"BURGER KING, french toast sticks",3.49,0.06,0.4121,0.1774
"BURGER KING, Hash Brown Rounds",3.02,0.028,0.2937,0.193
"Fast foods, miniature cinnamon rolls",4.03,0.0702,0.5338,0.1795
"Fast foods, hamburger; double, large patty; with condiments, vegetables and mayonnaise",2.52,0.1394,0.1374,0.1566
"Fast foods, cheeseburger; single, large patty; with condiments, vegetables and mayonnaise",2.68,0.1369,0.1773,0.158
"Fast foods, cheeseburger; single, large patty; with condiments",2.69,0.1521,0.1972,0.144
"Fast Foods, cheeseburger; double, large patty; with condiments, vegetables and mayonnaise",2.53,0.155,0.1262,0.1563
"Fast foods, cheeseburger; double, regular patty; double decker bun with condiments and special sauce",2.61,0.1194,0.2153,0.141
"Light Ice Cream, soft serve, blended with cookie pieces",1.69,0.0397,0.2555,0.0566
"POPEYES, biscuit",4.01,0.06,0.4095,0.2371
"POPEYES, Coleslaw",1.61,0.0098,0.1412,0.1118
"POPEYES, Mild Chicken Strips, analyzed 2006",2.71,0.192,0.1931,0.1301
"Spaghetti with meat sauce, frozen entree",0.9,0.0505,0.1524,0.0101
"Beef macaroni with tomato sauce, frozen entree, reduced fat",1.13,0.0589,0.1799,0.0196
"Pasta with Sliced Franks in Tomato Sauce, canned entree",0.9,0.0437,0.127,0.0238
"Turkey Pot Pie, frozen entree",1.76,0.065,0.177,0.088
"Beef Pot Pie, frozen entree, prepared",2.2,0.0725,0.2205,0.1139
"Tortellini, pasta with cheese filling, fresh-refrigerated, as purchased",3.07,0.135,0.47,0.0723
"Pizza, meat topping, thick crust, frozen, cooked",2.74,0.1176,0.3076,0.1152
"Pizza, pepperoni topping, regular crust, frozen, cooked",2.74,0.1438,0.2469,0.1313
"Chili con carne with beans, canned entree",1.07,0.058,0.131,0.0347
"Chili, no beans, canned entree",1.18,0.0753,0.061,0.071
"Spaghetti, with meatballs in tomato sauce, canned",1.0,0.0437,0.1145,0.0411
"Pasta with tomato sauce, no meat, canned",0.71,0.0222,0.1394,0.0071
"Lasagna with meat & sauce, low-fat, frozen entree",1.01,0.0681,0.135,0.0223
"Burrito, beef and bean, microwaved",2.98,0.0873,0.3895,0.1194
"Egg rolls, pork, refrigerated, heated",2.27,0.0994,0.2849,0.0818
"Egg rolls, chicken, refrigerated, heated",1.97,0.1044,0.2854,0.0451
"Egg rolls, vegetable, frozen, prepared",2.14,0.0595,0.3177,0.0697
"Lasagna, Vegetable, frozen, baked",1.39,0.0687,0.1418,0.0604
"HOT POCKETS, meatballs & mozzarella stuffed sandwich, frozen",2.52,0.0932,0.3068,0.1023
"LEAN POCKETS, Ham N Cheddar",2.3,0.1028,0.3252,0.0653
"Lean Pockets, Meatballs & Mozzarella",2.4,0.1049,0.3228,0.077
"Chili with beans, microwavable bowls",1.0,0.0585,0.1088,0.0368
"Chicken, nuggets, dark and white meat, precooked, frozen, not reheated",2.68,0.1202,0.1609,0.1731
"Chicken, nuggets, white meat, precooked, frozen, not reheated",2.61,0.1436,0.1624,0.1542
"Ravioli, cheese with tomato sauce, frozen, not prepared, includes regular and light entrees",1.11,0.0452,0.1731,0.0261
"Lasagna with meat sauce, frozen, prepared",1.35,0.0728,0.1536,0.0492
"Beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",2.76,0.254,0.0,0.1857
"Beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8"" fat, select, raw",2.08,0.2069,0.0,0.1327
"Beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",2.63,0.2621,0.0,0.1675
"Beef, short loin, t-bone steak, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",2.23,0.2011,0.0,0.1518
"Beef, round, knuckle, tip side, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",1.74,0.2879,0.0,0.0571
"Beef, round, knuckle, tip side, steak, separable lean and fat , trimmed to 0"" fat, select, raw",1.23,0.2196,0.0,0.0324
"Beef, round, knuckle, tip side, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",1.6,0.2924,0.0,0.0391
"Beef, chuck, shoulder clod, shoulder tender, medallion, separable lean and fat, trimmed to 0"" fat, choice, raw",1.45,0.2051,0.0,0.0636
"Beef, chuck, shoulder clod, shoulder top and center steaks, separable lean and fat, trimmed to 0"" fat, select, raw",1.4,0.2113,0.0,0.0551
"Beef, chuck, shoulder clod, shoulder top and center steaks, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",1.76,0.2666,0.0,0.0694
"Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, choice, raw",1.82,0.1875,0.0,0.1133
"Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",2.28,0.247,0.0,0.1359
"Beef, round, knuckle, tip center, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",1.62,0.2661,0.0,0.0532
"Beef, round, outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, choice, raw",1.5,0.2124,0.0,0.0659
"Beef, round, outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",1.91,0.2722,0.0,0.083
"Beef, round, outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, select, raw",1.29,0.2215,0.0,0.0383
"Beef, round, knuckle, tip side, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",1.68,0.2908,0.0,0.0484
"Beef, chuck, shoulder clod, shoulder top and center steaks, separable lean and fat, trimmed to 0"" fat, all grades, raw",1.41,0.2067,0.0,0.0588
"Beef, chuck, shoulder clod, shoulder top and center steaks, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",1.82,0.263,0.0012,0.0766
"Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, all grades, raw",1.76,0.1899,0.0,0.1052
"Beef, round, outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",1.82,0.2752,0.0,0.071
"Beef, chuck, shoulder clod, shoulder tender, medallion, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",1.72,0.2645,0.0033,0.0643
"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, choice, raw",1.71,0.2089,0.0,0.0976
"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, select, cooked, grilled",2.23,0.3064,0.0,0.1116
"Beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, select, raw",1.53,0.2161,0.0,0.0741
"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",2.82,0.2768,0.0,0.1901
"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, select, raw",1.98,0.1914,0.0023,0.1344
"Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",2.06,0.2811,0.0,0.1037
"Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, raw",1.54,0.2185,0.0,0.0741
"Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",2.15,0.2739,0.0,0.1175
"Beef, rib, back ribs, bone-in, separable lean only, trimmed to 0"" fat, all grades, raw",2.39,0.1911,0.0046,0.1791
"Beef, rib, back ribs, bone-in, separable lean only, trimmed to 0"" fat, choice, cooked, braised",3.06,0.2775,0.0,0.2172
"Beef, rib, back ribs, bone-in, separable lean only, trimmed to 0"" fat, choice, raw",2.52,0.1872,0.0064,0.1936
"Beef, rib, back ribs, bone-in, separable lean only, trimmed to 0"" fat, select, cooked, braised",2.87,0.2928,0.0,0.1884
"Beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",2.9,0.2336,0.0,0.2185
"Beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",3.0,0.2347,0.0,0.2291
"Beef, rib eye steak/roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",2.55,0.1813,0.0,0.2031
"Beef, rib eye steak/roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, raw",2.6,0.1792,0.0,0.2096
"Beef, rib eye roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",2.92,0.243,0.0,0.2166
"Beef, rib eye roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",3.03,0.2392,0.0,0.2298
"Beef, rib eye roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",2.77,0.2485,0.0,0.1968
"Beef, rib eye steak/roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",2.44,0.1885,0.0,0.1873
"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",2.33,0.3006,0.0,0.1254
"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, all grades, raw",1.87,0.2038,0.0,0.1171
"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, choice, raw",1.95,0.2006,0.0,0.1278
"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, select, raw",1.74,0.2087,0.0,0.1011
"Beef, ground, unspecified fat content, cooked",2.4,0.2507,0.0062,0.1453
"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, choice, raw",2.38,0.1769,0.0035,0.1844
"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, select, raw",2.22,0.1843,0.0036,0.1631
"Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",2.71,0.2485,0.0,0.1902
"Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",2.85,0.2389,0.0,0.211
"Beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",3.6,0.2423,0.0,0.2921
"Beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",3.72,0.2334,0.0,0.3095
"Beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",3.41,0.2556,0.0,0.2659
"Beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, all grades, raw",3.24,0.1615,0.0078,0.2842
"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",1.81,0.2826,0.0073,0.0723
"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",1.89,0.2819,0.0107,0.0796
"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",1.7,0.2836,0.0022,0.0614
"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, all grades, raw",1.34,0.2138,0.0,0.0536
"Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, choice, raw",1.38,0.2134,0.0,0.0582
"Cheese, blue",3.53,0.214,0.0234,0.2874
"Cheese, brick",3.71,0.2324,0.0279,0.2968
"Cheese, brie",3.34,0.2075,0.0045,0.2768
"Cheese, camembert",3.0,0.198,0.0046,0.2426
"Cheese, cottage, creamed, large or small curd",0.98,0.1112,0.0338,0.043
"Cheese, cottage, creamed, with fruit",0.97,0.1069,0.0461,0.0385
"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",0.72,0.1034,0.0666,0.0029
"Cheese, cottage, lowfat, 2% milkfat",0.81,0.1045,0.0476,0.0227
"Egg, white, raw, fresh",0.52,0.109,0.0073,0.0017
"Egg, yolk, raw, fresh",3.22,0.1586,0.0359,0.2654
"Egg, whole, cooked, omelet",1.54,0.1057,0.0064,0.1166
"Egg, whole, cooked, poached",1.43,0.1251,0.0071,0.0947
"Egg, whole, cooked, scrambled",1.49,0.0999,0.0161,0.1098
"Egg, whole, dried",5.92,0.4805,0.0113,0.439
"Egg, duck, whole, fresh, raw",1.85,0.1281,0.0145,0.1377
"Egg, goose, whole, fresh, raw",1.85,0.1387,0.0135,0.1327
"Egg, quail, whole, fresh, raw",1.58,0.1305,0.0041,0.1109
"Egg, turkey, whole, fresh, raw",1.71,0.1368,0.0115,0.1188
"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A",0.56,0.0395,0.0549,0.0198
"Milk, canned, evaporated, with added vitamin A",1.34,0.0681,0.1004,0.0756
"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",3.62,0.3616,0.5198,0.0077
"Milk, dry, nonfat, instant, without added vitamin A and vitamin D",3.58,0.351,0.5219,0.0072
"Cheese, goat, hard type",4.52,0.3052,0.0217,0.3559
"Cheese substitute, mozzarella",2.48,0.1147,0.2367,0.1222
"Yogurt, Greek, 2% fat, mango, CHOBANI",0.93,0.0764,0.1184,0.0169
"Cheese sauce, prepared from recipe",1.97,0.1033,0.0548,0.1492
"Cheese, mexican, queso anejo",3.73,0.2144,0.0463,0.2998
"Egg, whole, raw, frozen, pasteurized (Includes foods for USDA's Food Distribution Program)",1.47,0.1233,0.0101,0.0995
"Egg, white, raw, frozen, pasteurized",0.48,0.102,0.0104,0.0
"Egg, white, dried",3.82,0.811,0.078,0.0
"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",0.5,0.033,0.048,0.0198
"Parmesan cheese topping, fat free",3.7,0.4,0.4,0.05
"Cheese, cream, fat free",1.05,0.1569,0.0766,0.01
"Yogurt, chocolate, nonfat milk",1.12,0.0353,0.2353,0.0
KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce,2.76,0.12,0.092,0.21
KRAFT BREAKSTONE'S Reduced Fat Sour Cream,1.52,0.045,0.065,0.12
KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,0.91,0.047,0.151,0.013
"Cream, half and half, fat free",0.59,0.026,0.09,0.014
Reddi Wip Fat Free Whipped Topping,1.49,0.03,0.25,0.05
"Cream substitute, flavored, powdered",4.82,0.0068,0.7542,0.2147
"Cheese, provolone, reduced fat",2.74,0.247,0.035,0.176
"Cheese, Mexican, blend, reduced fat",2.82,0.2469,0.0341,0.194
"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",0.61,0.0315,0.0478,0.0327
"Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D",1.05,0.0486,0.186,0.0141
"Yogurt, vanilla, low fat, fortified with vitamin D",0.85,0.0493,0.138,0.0125
"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener, fortified with vitamin D",0.43,0.0386,0.075,0.0018
"Yogurt, chocolate, nonfat milk, fortified with vitamin D",1.12,0.0353,0.2353,0.0
"Cheese, dry white, queso seco",3.25,0.2451,0.0204,0.2435
"Cheese, fresh, queso fresco",2.99,0.1809,0.0298,0.2382
"Cheese, white, queso blanco",3.1,0.2038,0.0253,0.2431
"Milk, buttermilk, fluid, whole",0.62,0.0321,0.0488,0.0331
Ice cream sandwich,2.37,0.0429,0.3714,0.0857
Ice cream cookie sandwich,2.4,0.037,0.396,0.074
"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",3.54,0.0521,0.3438,0.2188
"Ice cream sandwich, made with light ice cream, vanilla",1.86,0.0429,0.3964,0.0304
"Ice cream sandwich, vanilla, light, no sugar added",2.0,0.0571,0.4286,0.0286
"Spices, turmeric, ground",3.12,0.0968,0.6714,0.0325
"Basil, fresh",0.23,0.0315,0.0265,0.0064
"Dill weed, fresh",0.43,0.0346,0.0702,0.0112
"Mustard, prepared, yellow",0.6,0.0374,0.0583,0.0334
"Vanilla extract, imitation, alcohol",2.37,0.0005,0.0241,0.0
"Vanilla extract, imitation, no alcohol",0.56,0.0003,0.144,0.0
"Vinegar, distilled",0.18,0.0,0.0004,0.0
"Capers, canned",0.23,0.0236,0.0489,0.0086
"Spearmint, dried",2.85,0.1993,0.5204,0.0603
"Vinegar, red wine",0.19,0.0004,0.0027,0.0
"Vinegar, balsamic",0.88,0.0049,0.1703,0.0
"Seasoning mix, dry, sazon, coriander & annatto",0.0,0.0,0.0,0.0
"Seasoning mix, dry, taco, original",3.22,0.045,0.58,0.0
"Babyfood, meat, beef, junior",0.81,0.1203,0.0243,0.0252
"Babyfood, meat, veal, strained",0.81,0.1312,0.0151,0.0245
"Babyfood, meat, pork, strained",1.24,0.14,0.0,0.071
"Babyfood, meat, ham, strained",0.97,0.113,0.037,0.038
"Babyfood, meat, chicken, junior",1.46,0.14,0.0,0.096
"Babyfood, meat, chicken sticks, junior",1.88,0.146,0.015,0.144
"Babyfood, meat, turkey, strained",1.11,0.115,0.014,0.062
"Babyfood, meat, turkey, junior",1.11,0.115,0.014,0.062
"Babyfood, finger snacks, GERBER, GRADUATES, PUFFS, apple and cinnamon",3.44,0.0619,0.8579,0.023
"Babyfood, water, bottled, GERBER, without added fluoride",0.0,0.0,0.0,0.0
"Babyfood, GERBER, 3rd Foods, apple, mango and kiwi",0.48,0.0047,0.1288,0.0
"Babyfood, tropical fruit medley",0.46,0.0031,0.1222,0.0014
"Babyfood, dinner, vegetables and dumplings and beef, strained",0.48,0.02,0.077,0.009
"Babyfood, ravioli, cheese filled, with tomato sauce",0.99,0.036,0.163,0.022
"Babyfood, dinner, beef noodle, strained",0.63,0.0244,0.0818,0.0226
"Babyfood, macaroni and cheese, toddler",0.82,0.035,0.112,0.026
"Babyfood, dinner, beef and rice, toddler",0.82,0.05,0.088,0.029
"Babyfood, dinner, beef with vegetables",0.96,0.0203,0.0636,0.0693
"Babyfood, dinner, vegetables and lamb, junior",0.51,0.021,0.071,0.017
"Babyfood, dinner, chicken noodle, strained",0.74,0.0353,0.0781,0.0322
"Babyfood, dinner, chicken noodle, junior",0.74,0.0353,0.078,0.0323
"Babyfood, dinner, vegetables, noodles and chicken, junior",0.64,0.017,0.091,0.022
"Babyfood, dinner, pasta with vegetables",0.6,0.017,0.084,0.021
"Babyfood, dinner, vegetables and noodles and turkey, strained",0.44,0.012,0.068,0.012
"Babyfood, dinner, vegetables and noodles and turkey, junior",0.52,0.018,0.076,0.015
"Babyfood, dinner, turkey and rice, strained",0.52,0.0227,0.0794,0.0124
"Babyfood, dinner, macaroni and cheese, junior",0.61,0.026,0.082,0.02
"Babyfood, vegetables, green beans, strained",0.27,0.012,0.0629,0.0017
"Babyfood, vegetables, green beans, junior",0.24,0.012,0.058,0.001
"Babyfood, green beans, dices, toddler",0.29,0.012,0.057,0.002
"Babyfood, vegetables, squash, strained",0.28,0.0081,0.0573,0.002
"Babyfood, vegetables, squash, junior",0.24,0.0081,0.0573,0.002
"Babyfood, vegetables, sweet potatoes strained",0.57,0.011,0.132,0.001
"Babyfood, vegetables, sweet potatoes, junior",0.6,0.011,0.14,0.001
"Babyfood, fruit, applesauce, junior",0.37,0.0,0.103,0.0
"Babyfood, fruit, apricot with tapioca, strained",0.6,0.003,0.163,0.0
"Babyfood, vegetables, corn, creamed, strained",0.57,0.014,0.141,0.004
"Babyfood, dinner, mixed vegetable, junior",0.34,0.0101,0.0788,0.0011
"Babyfood, fruit, bananas with tapioca, junior",0.67,0.004,0.178,0.002
"Babyfood, vegetables, mix vegetables junior",0.36,0.014,0.082,0.004
"Babyfood, vegetables, garden vegetable, strained",0.32,0.023,0.068,0.002
"Babyfood, plums, bananas and rice, strained",0.57,0.011,0.127,0.003
"Babyfood, dinner, turkey, rice, and vegetables, toddler",0.6,0.038,0.075,0.016
"Babyfood, dinner, apples and chicken, strained",0.65,0.0216,0.1088,0.0138
"Babyfood, dinner, broccoli and chicken, junior",0.62,0.0359,0.0634,0.0248
"Infant formula, MEAD JOHNSON, Enfamil Premature High Protein 24 Calories, ready to feed, with ARA and DHA",0.81,0.028,0.0866,0.039
"Infant formula, MEAD JOHNSON, Enfamil Premature 30 Calories, ready to feed, with ARA and DHA",1.01,0.032,0.1113,0.048
"Infant formula, MEAD JOHNSON, Enfamil for Supplementing, powder, with ARA and DHA, not reconstituted",5.13,0.117,0.558,0.27
"Infant formula, MEAD JOHNSON, Enfamil Reguline Powder, with ARA and DHA, not reconstituted",5.13,0.117,0.559,0.27
"Infant formula, MEAD JOHNSON, Pregestimil 24 Calories, ready to feed, with ARA and DHA",0.72,0.022,0.0595,0.044
"Toddler drink, MEAD JOHNSON, PurAmino Toddler Powder, with ARA and DHA, not reconstituted",5.12,0.139,0.5568,0.26
"Infant formula, MEAD JOHNSON, Enfamil for Supplementing, ready to feed, with ARA and DHA",0.68,0.0151,0.076,0.035
"Babyfood, cereal, barley, prepared with whole milk",0.84,0.0373,0.0994,0.0326
"Babyfood, cereal, oatmeal, with bananas, prepared with whole milk",0.86,0.0382,0.1,0.0346
"Babyfood, cereal, oatmeal, with honey, prepared with whole milk",1.15,0.05,0.153,0.039
"Babyfood, cereal, rice, prepared with whole milk",0.85,0.0345,0.1031,0.0338
"Babyfood, cereal, rice, with honey, prepared with whole milk",1.15,0.039,0.171,0.033
"Infant formula, MEAD JOHNSON, ENFAMIL, with iron, powder",5.2,0.108,0.562,0.27
"Infant formula, MEAD JOHNSON, ENFAMIL, Infant, with iron, powder, with ARA and DHA",5.11,0.108,0.562,0.27
"Infant formula, MEAD JOHNSON, ENFAMIL, Infant, with iron, liquid concentrate, with ARA and DHA, reconstituted",0.68,0.0131,0.0786,0.035
"Infant formula, MEAD JOHNSON, ENFAMIL LIPIL, with iron, ready-to-feed, with ARA and DHA",0.64,0.0138,0.071,0.035
"Infant formula, MEAD JOHNSON, ENFAMIL, LIPIL, low iron, ready to feed, with ARA and DHA",0.64,0.0138,0.0718,0.035
"Infant formula, MEAD JOHNSON, ENFAMIL, Infant, ready-to-feed, with ARA and DHA",0.68,0.0131,0.0786,0.035
"Infant formula, ABBOTT NUTRITION, SIMILAC, PM 60/40, powder not reconstituted",5.24,0.114,0.5494,0.2871
"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN WITH LGG, with iron, powder, not reconstituted, with ARA and DHA",5.14,0.141,0.536,0.27
"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, with iron, ready-to-feed, with ARA and DHA",0.68,0.0183,0.0721,0.035
"Infant formula, ABBOTT NUTRITION, SIMILAC, ALIMENTUM, with iron, ready-to-feed",0.66,0.018,0.0677,0.0363
"Infant formula, MEAD JOHNSON, ENFAMIL, ENFACARE, with iron, powder, with ARA and DHA",5.05,0.139,0.538,0.26
"Infant formula, ABBOTT NUTRITION, SIMILAC, with iron, liquid concentrate, not reconstituted",1.27,0.0264,0.1376,0.0689
"Child formula, ABBOTT NUTRITION, PEDIASURE, ready-to-feed",0.99,0.0286,0.1115,0.0477
"Infant formula, MEAD JOHNSON, NEXT STEP, PROSOBEE LIPIL, powder, with ARA and DHA",4.8,0.156,0.571,0.21
"Infant formula, MEAD JOHNSON, NEXT STEP, PROSOBEE, LIPIL, ready to feed, with ARA and DHA",0.67,0.0214,0.0809,0.0291
